"nodeID","nodeLabel","latitude","longitude"
"19063","Emmet","43° 22' 40.60"" N","94° 40' 42.34"" S"
"19177","Van Buren","40° 45' 11.47"" N","91° 56' 59.91"" S"
"19193","Woodbury","42° 23' 23.06"" N","96° 2' 40.80"" S"
"19039","Clarke","41° 1' 44.42"" N","93° 47' 6.57"" S"
"19091","Humboldt","42° 46' 35.22"" N","94° 12' 25.78"" S"
"19145","Page","40° 44' 20.68"" N","95° 9' 0.66"" S"
"19031","Cedar","41° 46' 20.07"" N","91° 7' 56.75"" S"
"19085","Harrison","41° 40' 58.11"" N","95° 49' 0.44"" S"
"19069","Franklin","42° 43' 56.86"" N","93° 15' 44.91"" S"
"19129","Mills","41° 2' 0.34"" N","95° 37' 16.68"" S"
"19155","Pottawattamie","41° 20' 12.08"" N","95° 32' 32.11"" S"
