"nodeID","nodeLabel","latitude","longitude"
"48015","Austin","29° 53' 12.92"" N","96° 16' 39.67"" S"
"48277","Lamar","33° 40' 1.77"" N","95° 34' 16.12"" S"
"48391","Refugio","28° 19' 30.93"" N","97° 9' 56.95"" S"
"48469","Victoria","28° 47' 46.46"" N","96° 58' 17.46"" S"
"48061","Cameron","26° 8' 0.35"" N","97° 31' 4.41"" S"
"48185","Grimes","30° 32' 35.53"" N","95° 59' 7.63"" S"
"48239","Jackson","28° 57' 14.86"" N","96° 34' 38.82"" S"
"48389","Reeves","31° 19' 21.51"" N","103° 41' 33.30"" S"
"48283","La Salle","28° 20' 42.06"" N","99° 5' 58.52"" S"
"48401","Rusk","32° 6' 27.04"" N","94° 45' 42.74"" S"
"48459","Upshur","32° 44' 10.41"" N","94° 56' 29.49"" S"
"48309","McLennan","31° 33' 8.37"" N","97° 12' 6.87"" S"
"48337","Montague","33° 40' 31.91"" N","97° 43' 28.86"" S"
"48355","Nueces","27° 43' 32.22"" N","97° 36' 46.68"" S"
"48275","Knox","33° 36' 21.69"" N","99° 44' 29.00"" S"
"48441","Taylor","32° 18' 4.92"" N","99° 53' 24.54"" S"
"48451","Tom Green","31° 24' 15.54"" N","100° 27' 42.79"" S"
"48045","Briscoe","34° 31' 48.68"" N","101° 12' 30.78"" S"
"48145","Falls","31° 15' 11.66"" N","96° 56' 9.43"" S"
"48385","Real","29° 49' 54.04"" N","99° 49' 19.84"" S"
"48399","Runnels","31° 49' 51.55"" N","99° 58' 34.30"" S"
"48093","Comanche","31° 56' 52.41"" N","98° 33' 29.04"" S"
"48485","Wichita","33° 59' 16.56"" N","98° 42' 12.68"" S"
"48489","Willacy","26° 28' 10.88"" N","97° 39' 40.25"" S"
"48049","Brown","31° 46' 26.54"" N","98° 59' 59.20"" S"
"48069","Castro","34° 31' 47.29"" N","102° 15' 42.01"" S"
"48107","Crosby","33° 36' 52.49"" N","101° 17' 59.94"" S"
"48507","Zavala","28° 51' 58.29"" N","99° 45' 37.97"" S"
"48251","Johnson","32° 22' 44.35"" N","97° 21' 59.03"" S"
"48231","Hunt","33° 7' 24.17"" N","96° 5' 8.00"" S"
"48279","Lamb","34° 4' 6.51"" N","102° 21' 6.18"" S"
"48497","Wise","33° 12' 56.98"" N","97° 39' 16.12"" S"
"48413","Schleicher","30° 53' 51.19"" N","100° 32' 18.03"" S"
"48017","Bailey","34° 4' 6.30"" N","102° 49' 47.55"" S"
"48131","Duval","27° 40' 51.85"" N","98° 30' 31.74"" S"
