"nodeID","nodeLabel","latitude","longitude"
"09009","New Haven","41° 24' 37.60"" N","72° 55' 54.99"" S"
"09001","Fairfield","41° 16' 14.13"" N","73° 23' 22.20"" S"
"09007","Middlesex","41° 27' 47.13"" N","72° 32' 6.07"" S"
"09011","New London","41° 29' 11.67"" N","72° 6' 5.39"" S"
"09005","Litchfield","41° 47' 32.07"" N","73° 14' 43.50"" S"
"09013","Tolland","41° 51' 17.57"" N","72° 20' 11.45"" S"
"09015","Windham","41° 49' 47.64"" N","71° 59' 14.79"" S"
"09003","Hartford","41° 48' 22.48"" N","72° 43' 58.31"" S"
